1 - WER	rouge1	rouge2	rougeL	rougeLsum	sacreBLEU / 100
0.0	0.875	0.4358974358974359	0.275	0.275	0.54
0.06000000000000005	0.7906976744186046	0.3333333333333333	0.27906976744186046	0.27906976744186046	0.11
0.09999999999999998	0.7857142857142857	0.34146341463414637	0.35714285714285715	0.35714285714285715	0.21
0.040000000000000036	0.8311688311688312	0.26666666666666666	0.28571428571428575	0.28571428571428575	0.35
0.09999999999999998	0.7674418604651163	0.2857142857142857	0.3255813953488372	0.3255813953488372	0.11
0.06000000000000005	0.8	0.14457831325301207	0.25882352941176473	0.25882352941176473	0.11
0.19999999999999996	0.8791208791208791	0.38202247191011235	0.3076923076923077	0.3076923076923077	0.16
0.06000000000000005	0.8139534883720931	0.14285714285714285	0.2558139534883721	0.2558139534883721	0.16
0.12	0.853932584269663	0.3908045977011494	0.4719101123595506	0.4719101123595506	0.35
0.16000000000000003	0.8860759493670887	0.2077922077922078	0.3544303797468355	0.3544303797468355	0.29
0.21999999999999997	0.8571428571428571	0.48	0.4415584415584415	0.4415584415584415	0.36
0.09999999999999998	0.8395061728395061	0.1518987341772152	0.3209876543209877	0.3209876543209877	0.11
0.07999999999999996	0.8235294117647058	0.24096385542168675	0.25882352941176473	0.25882352941176473	0.3
0.020000000000000018	0.8666666666666667	0.25	0.3333333333333333	0.3333333333333333	0.23
0.18000000000000005	0.8314606741573033	0.3218390804597701	0.33707865168539325	0.33707865168539325	0.24
0.040000000000000036	0.8735632183908046	0.2823529411764706	0.367816091954023	0.367816091954023	0.19
0.06000000000000005	0.8666666666666666	0.3181818181818182	0.4666666666666666	0.4666666666666666	0.17
0.12	0.7848101265822786	0.3896103896103896	0.430379746835443	0.430379746835443	0.25
0.12	0.860759493670886	0.25974025974025977	0.4050632911392405	0.4050632911392405	0.26
0.14	0.7415730337078652	0.1379310344827586	0.33707865168539325	0.33707865168539325	0.05
0.12	0.8648648648648649	0.3055555555555556	0.2702702702702703	0.2702702702702703	0.44
