1 - WER	rouge1	rouge2	rougeL	rougeLsum	sacreBLEU / 100
0.20399999999999996	0.18613861386138614	0.04373757455268389	0.1504950495049505	0.1504950495049505	0.24
0.09799999999999998	0.152317880794702	0.026578073089700994	0.10927152317880794	0.10927152317880794	0.07
0.20199999999999996	0.15202702702702703	0.05423728813559322	0.13513513513513511	0.13513513513513511	0.08
0.132	0.1320754716981132	0.007575757575757577	0.1320754716981132	0.1320754716981132	0.16
0.04600000000000004	0.0	0.0	0.0	0.0	0.0
0.15400000000000003	0.2779456193353474	0.03636363636363637	0.21148036253776437	0.21148036253776437	0.09
0.118	0.17570093457943925	0.01125703564727955	0.11588785046728972	0.11588785046728972	0.06
0.09999999999999998	0.13376835236541598	0.022913256955810146	0.11092985318107666	0.11092985318107666	0.08
0.028000000000000025	0.0	0.0	0.0	0.0	0.0
0.14800000000000002	0.14963503649635038	0.014652014652014652	0.12773722627737225	0.12773722627737225	0.12
0.08599999999999997	0.11355311355311354	0.025735294117647058	0.10256410256410256	0.10256410256410256	0.09
0.134	0.14313346228239843	0.011650485436893204	0.10831721470019343	0.10831721470019343	0.14
0.07999999999999996	0.033210332103321034	0.0037037037037037034	0.025830258302583023	0.025830258302583023	0.02
0.134	0.13627992633517497	0.007393715341959335	0.11418047882136279	0.11418047882136279	0.13
0.10799999999999998	0.1728880157170923	0.03155818540433925	0.12573673870333987	0.12573673870333987	0.12
0.15000000000000002	0.11821086261980832	0.028846153846153848	0.09904153354632587	0.09904153354632587	0.05
0.07999999999999996	0.05342237061769616	0.0033500837520938024	0.04674457429048414	0.04674457429048414	0.0
0.03400000000000003	0.0	0.0	0.0	0.0	0.0
0.17000000000000004	0.16597510373443985	0.029166666666666664	0.13692946058091285	0.13692946058091285	0.21
0.17800000000000005	0.1525974025974026	0.052117263843648204	0.14285714285714282	0.14285714285714282	0.08
0.07799999999999996	0.10548523206751055	0.0	0.10548523206751055	0.10548523206751055	0.03
0.07199999999999995	0.08759124087591241	0.018315018315018312	0.0656934306569343	0.0656934306569343	0.09
0.11399999999999999	0.058181818181818175	0.010948905109489052	0.05090909090909091	0.05090909090909091	0.1
0.14	0.13108614232209737	0.02255639097744361	0.09737827715355805	0.09737827715355805	0.14
0.03400000000000003	0.0	0.0	0.0	0.0	0.0
0.04800000000000004	0.0	0.0	0.0	0.0	0.0
0.11599999999999999	0.25609756097560976	0.045871559633027525	0.15853658536585366	0.15853658536585366	0.01
0.21599999999999997	0.24390243902439027	0.09039548022598871	0.20637898686679176	0.20637898686679176	0.28
0.10399999999999998	0.15228426395939085	0.020373514431239387	0.11505922165820641	0.11505922165820641	0.03
0.128	0.08502772643253236	0.01484230055658627	0.07393715341959335	0.07393715341959335	0.02
0.13	0.2413162705667276	0.05137614678899082	0.15356489945155394	0.15356489945155394	0.14
0.10799999999999998	0.0641711229946524	0.01073345259391771	0.053475935828877	0.053475935828877	0.08
0.04200000000000004	0.0	0.0	0.0	0.0	0.0
0.03600000000000003	0.0	0.0	0.0	0.0	0.0
0.10999999999999999	0.12386156648451732	0.02559414990859232	0.08743169398907102	0.08743169398907102	0.1
0.122	0.20769230769230768	0.05405405405405404	0.15384615384615385	0.15384615384615385	0.15
0.15400000000000003	0.14689265536723162	0.030245746691871456	0.1393596986817326	0.1393596986817326	0.18
0.06399999999999995	0.0	0.0	0.0	0.0	0.0
0.04200000000000004	0.0	0.0	0.0	0.0	0.0
0.06399999999999995	0.10227272727272728	0.0076045627376425855	0.06060606060606061	0.06060606060606061	0.12
0.124	0.2067796610169492	0.0272108843537415	0.14576271186440676	0.14576271186440676	0.1
0.08999999999999997	0.13432835820895522	0.033707865168539325	0.08208955223880597	0.08208955223880597	0.14
0.03400000000000003	0.0	0.0	0.0	0.0	0.0
0.134	0.10338680926916222	0.014311270125223615	0.10338680926916222	0.10338680926916222	0.15
0.016000000000000014	0.0	0.0	0.0	0.0	0.0
0.09599999999999997	0.12096774193548387	0.008097165991902834	0.08064516129032259	0.08064516129032259	0.08
0.118	0.10889292196007261	0.007285974499089253	0.10163339382940109	0.10163339382940109	0.16
0.118	0.10997963340122198	0.0081799591002045	0.061099796334012225	0.061099796334012225	0.03
0.14600000000000002	0.1642857142857143	0.010752688172043012	0.14285714285714288	0.14285714285714288	0.22
0.14	0.1417910447761194	0.011235955056179777	0.13059701492537315	0.13059701492537315	0.15
0.122	0.1273031825795645	0.020168067226890754	0.1239530988274707	0.1239530988274707	0.11
0.10799999999999998	0.1381692573402418	0.03466204506065858	0.10708117443868738	0.10708117443868738	0.09
0.128	0.11301369863013698	0.024054982817869417	0.09246575342465754	0.09246575342465754	0.16
0.040000000000000036	0.0	0.0	0.0	0.0	0.0
0.03200000000000003	0.0	0.0	0.0	0.0	0.0
0.17200000000000004	0.29493087557603687	0.06471494607087827	0.17818740399385558	0.17818740399385558	0.03
0.10799999999999998	0.1504587155963303	0.02578268876611418	0.09541284403669724	0.09541284403669724	0.01
0.02400000000000002	0.0	0.0	0.0	0.0	0.0
0.06000000000000005	0.026785714285714288	0.0	0.017857142857142856	0.017857142857142856	0.04
0.132	0.21379310344827585	0.051903114186851215	0.13793103448275862	0.13793103448275862	0.02
0.04200000000000004	0.0	0.0	0.0	0.0	0.0
0.134	0.1413427561837456	0.02127659574468085	0.13427561837455831	0.13427561837455831	0.14
0.01200000000000001	0.0	0.0	0.0	0.0	0.02
0.13	0.1826771653543307	0.02527646129541864	0.16062992125984252	0.16062992125984252	0.08
0.10799999999999998	0.16637781629116116	0.04521739130434783	0.1386481802426343	0.1386481802426343	0.09
0.14800000000000002	0.16572504708097927	0.030245746691871456	0.10169491525423728	0.10169491525423728	0.18
